Date,Open,High,Low,Close,Change,Traded Volume,Turnover,Last Price of the Day,Daily Traded Units,Daily Turnover
2017-01-02,81.99,83.57,81.68,83.54,,1121699.0,93099042.0,,,
2017-01-03,83.74,83.74,82.73,82.89,,1801855.0,149692483.0,,,
2017-01-04,82.98,83.26,81.72,82.43,,2067356.0,170153603.0,,,
2017-01-05,82.23,82.69,81.85,82.69,,1617422.0,133307428.0,,,
2017-01-06,82.7,83.66,82.49,83.66,,1890644.0,157500554.0,,,
2017-01-09,84.39,84.63,83.61,84.34,,2393595.0,201705340.0,,,
2017-01-10,84.53,84.65,84.0,84.0,,1917100.0,161542153.0,,,
2017-01-11,84.0,84.45,83.13,83.95,,1909354.0,160191049.0,,,
2017-01-12,83.42,83.88,83.15,83.58,,1660287.0,138662606.0,,,
2017-01-13,84.15,84.2,83.47,84.18,,1406227.0,118160408.0,,,
2017-01-16,83.72,84.29,83.35,83.73,,1099899.0,92257760.0,,,
2017-01-17,83.62,83.93,83.01,83.47,,1578494.0,131777276.0,,,
2017-01-18,84.31,84.4,83.07,83.6,,1826093.0,152586330.0,,,
2017-01-19,84.71,84.91,83.36,83.99,,2178360.0,182804380.0,,,
2017-01-20,83.94,84.0,83.3,83.8,,3038209.0,254423443.0,,,
2017-01-23,83.25,83.93,82.7,82.87,,1849358.0,153711280.0,,,
2017-01-24,82.33,83.83,81.92,83.46,,2709377.0,225013316.0,,,
2017-01-25,84.02,84.81,83.88,84.66,,2687571.0,227113198.0,,,
2017-01-26,85.0,85.21,84.54,85.02,,1966701.0,167060311.0,,,
2017-01-27,85.0,85.4,84.71,85.23,,1636673.0,139239440.0,,,
2017-01-30,84.99,85.44,84.86,85.14,,1815240.0,154482192.0,,,
2017-01-31,85.05,85.52,84.53,84.63,,2460058.0,208686949.0,,,
2017-02-01,85.0,85.15,83.85,84.1,,2332014.0,196559622.0,,,
2017-02-02,84.03,85.83,83.98,85.4,,2535752.0,216372293.0,,,
2017-02-03,85.26,86.12,85.06,85.48,,1791065.0,153408959.0,,,
