,Полное имя пользователя,Просмотры,Активные действия,views_bin,active_bin,views_sq,views_log
1,005b103b8dab7a44c8fa0032dd3ce71e,163,20,"(150.0, 200.0]","(10.0, 20.0]",26569,5.099866427824199
4,00c8ab9c7d42d289a27de525176419bf,50,1,"(0.0, 100.0]",,2500,3.9318256327243257
5,019e14bce362478d9ab8b4d9a83c0b58,27,1,"(0.0, 100.0]",,729,3.332204510175204
6,01f1c1f2becf4e90f859eec2134ed29a,129,5,"(100.0, 150.0]",,16641,4.867534450455582
7,02a096fc71ce18cdcf521540037836d5,18,1,"(0.0, 100.0]",,324,2.9444389791664403
8,02bb2834c91f1255f5c1f6371957b3d5,50,1,"(0.0, 100.0]",,2500,3.9318256327243257
9,02d3af3285dd1e7f6d6671d71b3195fc,6,0,"(0.0, 100.0]",,36,1.9459101490553132
10,032f428cc092d623af4d941bd07e0898,9,0,"(0.0, 100.0]",,81,2.302585092994046
11,037411d754fba3ea4b68f569a63e0767,79,1,"(0.0, 100.0]",,6241,4.382026634673881
12,053520c57d2697f4e8ba6bb133c3ebe1,65,1,"(0.0, 100.0]",,4225,4.189654742026425
14,0617bf90c1522bda75e76d9ba017c9ec,19,1,"(0.0, 100.0]",,361,2.995732273553991
15,0627abacf974346332d1863a17761e58,12,1,"(0.0, 100.0]",,144,2.5649493574615367
17,06a5288b44b8327150112cb46b925095,76,1,"(0.0, 100.0]",,5776,4.343805421853684
19,0934e85b9f23772891655d08557ff087,21,1,"(0.0, 100.0]",,441,3.091042453358316
21,09770387c0f954029b3b1a0d091bf06a,209,21,"(200.0, inf]","(20.0, inf]",43681,5.3471075307174685
24,0a7c4b88ddda2c33221a795e53b1b592,53,0,"(0.0, 100.0]",,2809,3.9889840465642745
25,0acca8779a2d2125a30653dbbedf39af,22,1,"(0.0, 100.0]",,484,3.1354942159291497
26,0ae33d85fd9d9e5e371842d1f1f29722,104,11,"(100.0, 150.0]","(10.0, 20.0]",10816,4.653960350157523
27,0ae90c3d7fc2a10cd10a7a6d45541a97,12,1,"(0.0, 100.0]",,144,2.5649493574615367
29,0b1453a27f57695609bfee25897078ed,57,1,"(0.0, 100.0]",,3249,4.060443010546419
30,0b24df10ef27d56a8c152705b26f0833,26,1,"(0.0, 100.0]",,676,3.295836866004329
31,0c9cd6214af3c58cf3ffb427d4f355ce,143,12,"(100.0, 150.0]","(10.0, 20.0]",20449,4.969813299576001
32,0d4c0b2af79b42169d26ccd5f22ad706,38,1,"(0.0, 100.0]",,1444,3.6635616461296463
33,0d6db36231abfd7daefe0eb4b63138ca,39,6,"(0.0, 100.0]",,1521,3.6888794541139363
34,0ddb98bc7ded8ee1d678df916da1c8e5,26,8,"(0.0, 100.0]",,676,3.295836866004329
35,0ed22e94b644a9be0ee74b7c4223d297,2,0,"(0.0, 100.0]",,4,1.0986122886681098
36,0ee01082b9ebabc35b2b9cace61c06c4,11,1,"(0.0, 100.0]",,121,2.4849066497880004
37,0f0dc8dda51c8fb3c7ed1ecebb93760d,22,3,"(0.0, 100.0]",,484,3.1354942159291497
38,0f285c2626e8eb780df72dae90950664,103,8,"(100.0, 150.0]",,10609,4.6443908991413725
39,0fcda97e75e0ff02951a6303b0343d12,12,1,"(0.0, 100.0]",,144,2.5649493574615367
41,105bf39b1d12bfe30ce276784aea1857,238,11,"(200.0, inf]","(10.0, 20.0]",56644,5.476463551931511
42,106bb843fdb2124f74397a7e289c329c,29,1,"(0.0, 100.0]",,841,3.4011973816621555
43,109d3c8a00ee640e7f236700edb43c39,11,1,"(0.0, 100.0]",,121,2.4849066497880004
44,10cb5afdd971443e5aee9fe9524b1867,7,1,"(0.0, 100.0]",,49,2.0794415416798357
45,1131a1c30be5020c8659adbd62f717c5,156,2,"(150.0, 200.0]",,24336,5.056245805348308
46,1218a1224a57b790531c548971b871c5,12,1,"(0.0, 100.0]",,144,2.5649493574615367
47,12af9f252108b8dbbba5036fb2f36d40,77,5,"(0.0, 100.0]",,5929,4.356708826689592
48,133bf97b7596ac9ce79e97b9318ce8fc,49,9,"(0.0, 100.0]",,2401,3.912023005428146
49,13aba5935942702f83f03532ec812e5f,121,17,"(100.0, 150.0]","(10.0, 20.0]",14641,4.804021044733257
50,1428eb0ce32d5393ee977996660f6168,13,1,"(0.0, 100.0]",,169,2.6390573296152584
53,155390335be2e7ddcae8b9f19d1c5041,17,1,"(0.0, 100.0]",,289,2.8903717578961645
54,15d0d055e4a33d3917d4447a6333a0e8,9,1,"(0.0, 100.0]",,81,2.302585092994046
55,15dd3a6c37783500a986d401dcc597ce,42,5,"(0.0, 100.0]",,1764,3.7612001156935624
56,15ff933209f7f1665e5dce16bba947f9,7,1,"(0.0, 100.0]",,49,2.0794415416798357
57,164f2a671b54fed0e3b67e5193160875,65,1,"(0.0, 100.0]",,4225,4.189654742026425
58,1653ed6b8bee2a24ab4d3cd94336eb9d,36,1,"(0.0, 100.0]",,1296,3.6109179126442243
59,16a31c10bdabfc1c7c9df44b108ad6e1,29,1,"(0.0, 100.0]",,841,3.4011973816621555
60,1718a9ce0e0eb97b3144abf70c7cdabb,44,2,"(0.0, 100.0]",,1936,3.8066624897703196
61,172345231a102af5322f1d6f428ffea5,9,0,"(0.0, 100.0]",,81,2.302585092994046
62,177c1e92b2a57b299407588d5cb37f7f,17,1,"(0.0, 100.0]",,289,2.8903717578961645
63,17d95687dbc2f66be13dd683c095c9ec,187,18,"(150.0, 200.0]","(10.0, 20.0]",34969,5.236441962829949
65,1a1f5eb72ad59e78a0dcff4e5ecc1f4a,84,6,"(0.0, 100.0]",,7056,4.442651256490317
66,1ad43e492a80a195c15b1f63c80e78b3,39,3,"(0.0, 100.0]",,1521,3.6888794541139363
67,1b0e56f83ec2d86359198093ce900215,30,21,"(0.0, 100.0]","(20.0, inf]",900,3.4339872044851463
68,1b2cd82dbb8544d0919ebcefc4c7b29b,99,3,"(0.0, 100.0]",,9801,4.605170185988092
69,1b6964e653ab0f9c934e69cd66f4ef9d,72,3,"(0.0, 100.0]",,5184,4.290459441148391
71,1c86ac66268473c48b6deb23f5de6ce7,17,1,"(0.0, 100.0]",,289,2.8903717578961645
72,1ca88a7b0c27c7f68f7c7faefb253586,31,1,"(0.0, 100.0]",,961,3.4657359027997265
74,1da9baea8af259aa8a42d4cd85fd320a,2,0,"(0.0, 100.0]",,4,1.0986122886681098
78,21f3cc73d4f945f95590fb4afde9da5d,13,0,"(0.0, 100.0]",,169,2.6390573296152584
79,21fd2b964b87efe5e964df122e5f7f67,14,1,"(0.0, 100.0]",,196,2.70805020110221
80,2235cdb9fe051b42629bc0e1f7f5b654,13,1,"(0.0, 100.0]",,169,2.6390573296152584
81,2240214e8711898f316747b0db1c759b,19,0,"(0.0, 100.0]",,361,2.995732273553991
82,22438def43ded6b3d1ebf4afe4fdb0ac,4,0,"(0.0, 100.0]",,16,1.6094379124341003
84,227fcfdaf0313fb636c507127a8b6af5,20,3,"(0.0, 100.0]",,400,3.044522437723423
85,228ec59b71def53dd53587dd909e2df8,11,1,"(0.0, 100.0]",,121,2.4849066497880004
86,22adcf417bcee4e492d225e029474d8a,3,0,"(0.0, 100.0]",,9,1.3862943611198906
87,22db025aa4d64eefd02d7ee9426fcd7b,104,8,"(100.0, 150.0]",,10816,4.653960350157523
88,234a0b5e8c60e5f36db603bdc53cad00,9,1,"(0.0, 100.0]",,81,2.302585092994046
89,2350b3ff2762aafe31918d5b0fef89be,15,1,"(0.0, 100.0]",,225,2.772588722239781
90,243724dde0a4f6db82ef96ad0048e762,3,0,"(0.0, 100.0]",,9,1.3862943611198906
93,24b701ad5b4a4120d07133f4d4eb5e8c,5,0,"(0.0, 100.0]",,25,1.791759469228055
95,26c38babf6c9997551e55128be8c5b8b,3,0,"(0.0, 100.0]",,9,1.3862943611198906
96,276bcc1e5b463a64bcf0fb3417b43218,31,3,"(0.0, 100.0]",,961,3.4657359027997265
97,27fdf7ca29b3e9a5f8d2f577fb546fb4,12,1,"(0.0, 100.0]",,144,2.5649493574615367
98,287786bef04368c57df9c998e145bfbb,22,1,"(0.0, 100.0]",,484,3.1354942159291497
101,291c822e95d4feb1b41f9fd8fb4094be,5,0,"(0.0, 100.0]",,25,1.791759469228055
102,29235fdfe5e89f13220f65d74b31e9be,147,17,"(100.0, 150.0]","(10.0, 20.0]",21609,4.997212273764115
103,292d95b2839e9cd43ef9434404150145,34,5,"(0.0, 100.0]",,1156,3.5553480614894135
104,29563efaf3463995476972c14cab0dba,25,2,"(0.0, 100.0]",,625,3.258096538021482
106,2a90d4903d68bc3e52a50b68b8ce4bf0,77,6,"(0.0, 100.0]",,5929,4.356708826689592
107,2b833142650df24c10b74f9dfeb06e17,9,0,"(0.0, 100.0]",,81,2.302585092994046
109,2d47db7e5ed6b2eeeeda2a6ad535f300,5,0,"(0.0, 100.0]",,25,1.791759469228055
111,2eee099bdd7affb138f092cf96a2a4d1,65,2,"(0.0, 100.0]",,4225,4.189654742026425
112,2f61e0560dac916199d200d680621afb,68,2,"(0.0, 100.0]",,4624,4.23410650459726
113,2f78fca5bd1e3078b222f9b20d966d1d,60,9,"(0.0, 100.0]",,3600,4.110873864173311
114,2f877dadea4e5dce6c12a83525358dcf,22,1,"(0.0, 100.0]",,484,3.1354942159291497
115,2f9f9201173723b3339089a46ef239cb,29,1,"(0.0, 100.0]",,841,3.4011973816621555
116,2fe7f2dd0362a97a4741151684f0854c,2,0,"(0.0, 100.0]",,4,1.0986122886681098
117,302057ae76bac1d39a370718be8760b7,37,11,"(0.0, 100.0]","(10.0, 20.0]",1369,3.6375861597263857
118,303837bc5e998caad8ba33b69de15ce3,21,1,"(0.0, 100.0]",,441,3.091042453358316
119,303c8cbae8757cd8ccb11af4576e93ae,8,1,"(0.0, 100.0]",,64,2.1972245773362196
120,303febad8e136167c1d363d007bf1929,17,1,"(0.0, 100.0]",,289,2.8903717578961645
121,307aa913070e674383dbda876158226a,95,12,"(0.0, 100.0]","(10.0, 20.0]",9025,4.564348191467836
122,30c0052fd8e1fa33a195317d332ca053,6,1,"(0.0, 100.0]",,36,1.9459101490553132
123,30f6ad7a7fc02df960881fd1ebe3e4d1,78,13,"(0.0, 100.0]","(10.0, 20.0]",6084,4.3694478524670215
124,315dd35ecf6ca612637d5b3ac61ffa48,34,0,"(0.0, 100.0]",,1156,3.5553480614894135
125,31da86ab3541805e94736fdd38eacecb,8,1,"(0.0, 100.0]",,64,2.1972245773362196
126,31df0941b6812447ca5a6ef8502f3bdf,21,1,"(0.0, 100.0]",,441,3.091042453358316
127,31edc31e604c891fa8a857dc0a6c594f,10,1,"(0.0, 100.0]",,100,2.3978952727983707
128,31fca48424092c95c10a0a086ffdf4e0,19,0,"(0.0, 100.0]",,361,2.995732273553991
129,3271b8d648917647a2fe2c02bd461cfc,30,1,"(0.0, 100.0]",,900,3.4339872044851463
132,333925f328aa2adff280e2d2f09e58ed,19,1,"(0.0, 100.0]",,361,2.995732273553991
133,33c44e7b9ddf79d4226bf146f36fff4b,15,1,"(0.0, 100.0]",,225,2.772588722239781
134,33e13f03ed9f8d566cad1e83a4389bf8,35,1,"(0.0, 100.0]",,1225,3.58351893845611
135,340eb0e5027e5201f89f866b1410a78f,11,1,"(0.0, 100.0]",,121,2.4849066497880004
136,346520a08fa3a3ea4f5595052455360c,46,1,"(0.0, 100.0]",,2116,3.8501476017100584
137,34ddff8645783c7b5b4c3f7bece6e830,61,1,"(0.0, 100.0]",,3721,4.127134385045092
139,35ad7f0e01d0f13e245960833a0e3259,6,0,"(0.0, 100.0]",,36,1.9459101490553132
140,362f218e3e5c6754e57f67634d4ca582,36,1,"(0.0, 100.0]",,1296,3.6109179126442243
